"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"21,842,782","+24,758","773,279",+522,"14,570,347","6,499,156","64,336","2,802",99.2,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
USA,"5,566,632",,"173,128",,"2,922,724","2,470,780","17,237","16,805",523,"70,960,630","214,220","331,251,064"
,,,,,,,,,,,,
Brazil,"3,340,197",,"107,879",,"2,432,456","799,862","8,318","15,700",507,"13,464,336","63,287","212,751,912"
,,,,,,,,,,,,
India,"2,651,290","+3,974","51,079",+34,"1,920,265","679,946","8,944","1,919",37,"30,041,400","21,742","1,381,715,400"
,,,,,,,,,,,,
Russia,"927,745","+4,892","15,740",+55,"736,101","175,904","2,300","6,357",108,"32,700,000","224,061","145,942,628"
South Africa,"587,345",,"11,839",,"472,377","103,129",539,"9,888",199,"3,400,638","57,248","59,401,996"
Peru,"535,946",,"26,281",,"365,367","144,298","1,533","16,227",796,"2,773,412","83,969","33,028,871"
Mexico,"522,162","+4,448","56,757",+214,"355,101","110,304","3,489","4,045",440,"1,176,931","9,116","129,103,148"
Colombia,"468,332",,"15,097",,"287,436","165,799","1,493","9,192",296,"2,225,388","43,677","50,951,072"
Chile,"385,946",,"10,452",,"358,828","16,666","1,190","20,168",546,"2,019,591","105,533","19,136,992"
Spain,"358,843",,"28,617",,N/A,N/A,617,"7,675",612,"7,472,031","159,805","46,757,141"
Iran,"343,203",,"19,639",,"297,486","26,078","3,881","4,080",233,"2,861,825","34,018","84,126,996"
UK,"318,484",,"41,366",,N/A,N/A,73,"4,688",609,"14,503,645","213,503","67,931,752"
Saudi Arabia,"298,542",,"3,408",,"266,953","28,181","1,774","8,559",98,"4,202,076","120,470","34,880,742"
Argentina,"294,569",,"5,703",,"211,702","77,164","1,708","6,510",126,"966,926","21,369","45,248,204"
Pakistan,"289,215",+498,"6,175",+7,"269,087","13,953",771,"1,306",28,"2,299,601","10,386","221,413,234"
Bangladesh,"276,549",,"3,657",,"158,950","113,942",,"1,677",22,"1,351,666","8,197","164,896,196"
Italy,"253,915",,"35,396",,"203,786","14,733",56,"4,200",586,"7,557,417","125,019","60,450,148"
Turkey,"249,309",,"5,974",,"230,969","12,366",679,"2,952",71,"5,725,242","67,792","84,453,113"
Germany,"224,997",,"9,290",,"202,900","12,807",224,"2,684",111,"9,265,361","110,541","83,818,561"
